file_id,Question,Generated
7LD8iC4NqXM_chunk27_data2_task3,What cause of depression does this show?,The audio does not specifically mention the cause of the speaker's depression.
-GaYArbWL1Q_chunk16_data1_task4,Does the social wellness dimension exist here?,"The information provided does not explicitly mention 'social wellness,' so it cannot be determined if this dimension exists within the context of the speech."
VGdWk7YRS1c_chunk31_data1_task2,What mental disorder does this person show?,"The individual appears to have a mental disorder characterized by delusions of grandeur, hallucinations, and speech disorganization, which is referred to as schizophrenia."
wl0zc9pPJb4_chunk8_data1_task3,What is the stress cause here?,The speaker is experiencing stress because they are interested in doing yoga but feel it's hard to get started.
0b9WEFYrdDk_chunk23_data1_task3,What cause of depression does this show?,"The audio suggests that the speaker believes depression is a common part of being in a relationship and that his partner has been 'a little bit over the top' by saying she is depressed, which could be causing the depression."
P2a9102jifM_chunk31_data1_task2,What mental disorder does this person show?,The individual appears to be experiencing a severe anxiety attack.
ihDezGfSvQs_chunk13_data1_task2,What mental disorder symptoms does the patient show?,The patient shows anxiety about everything and has a fear of not being able to cope.
_pkXuC7vsl0_chunk8_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of depression, as indicated by their feeling of being a failure and not wanting to say anything."
Ch9YNaCgBU4_chunk11_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
YpgvoXv3o-w_chunk20_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows signs of depression, as indicated by their expression of feeling overwhelmed and their mood being 'down'."
jkKm5Cym-ZY_chunk17_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of depression and suicidal thoughts.
Ch9YNaCgBU4_chunk5_data2_task2,What mental disorder does this person show?,The speaker has been diagnosed with depression.
XUuWWoQTlww_chunk27_data1_task2,What mental disorder symptoms does the patient show?,The patient shows a delusional belief that they would not be successful or would fail at something.
LmB3ZQ2F1MY_chunk18_data2_task3,What cause of depression does this show?,The audio does not provide enough information to determine the specific cause of the person's depression.
ciaoqPxyD_Q_chunk13_data2_task4,Does the vocational wellness dimension exist here?,"Based on the provided information, it cannot be determined if the vocational wellness dimension exists within this context or not."
Xj2FB047sVc_chunk35_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, so we cannot determine the cause without further context or information."
67I6g1I7Zao_chunk1_data2_task3,What cause of depression does this show?,The audio does not specifically state the cause of the individual's depression. It only mentions that the individual has been dealing with stress and has developed a habit of drinking one or two glasses of wine a few nights a week as a coping mechanism.
W3hMmZQAdhw_chunk3_data1_task3,What cause of depression does this show?,"The sentence ""Have no one to talk to at work"" is an example of a cause of depression. It suggests that the individual feels isolated or disconnected from their colleagues, which can lead to feelings of loneliness, sadness, and hopelessness. Isolation and lack of social support are well-established risk factors for depression."
ciaoqPxyD_Q_chunk4_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the speaker is expressing feelings of depression which is an aspect of emotional wellness."
nFwAiO22g4Y_chunk54_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
P2a9102jifM_chunk40_data1_task4,Does the emotional wellness dimension exist here?,"The speech does not explicitly mention 'emotional wellness,' but it discusses feelings of worthlessness and rock bottom, which are commonly associated with emotional distress or low mood."
H8CJxNP0nv8_chunk4_data1_task1,Does the patient suffer from loneliness?,The audio does not provide explicit information regarding whether the patient suffers from loneliness.
osROod3Hmpg_chunk23_data1_task1,Does the patient suffer from depression?,"The patient may be experiencing feelings of guilt and inadequacy as mentioned in the speech, which are common symptoms of depression. However, a diagnosis can only be made by a medical professional after a thorough evaluation."
x0Iky4NWN2U_chunk4_data1_task4,Does the emotional wellness dimension exist here?,"The statement seems to suggest that someone may have been contemplating suicide or self-harm, but it does not necessarily indicate whether they had an emotional wellness dimension. The statement could be interpreted in different ways and without more context, it is difficult to determine the emotional state of the person in question."
jm6PG989Q_0_chunk30_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression and anxiety.
3rSt4KIaN8I_chunk8_data3_task1,Does the patient suffer from depression?,"Yes, the patient may suffer from抑郁症 as indicated by their mood and lack of interest in activities."
f6Y_P8Jv2cU_chunk2_data2_task2,What mental disorder symptoms does this patient show?,The patient shows anxiety and nervousness as a symptom of their mental disorder.
o2Cv6Mlp3KY_chunk7_data2_task3,What is the stress cause here?,The speaker feels stressed because they are aware that many people are watching them.
gFVeSopv--w_chunk10_data2_task3,What cause of depression does this show?,The audio does not specifically mention the cause of the speaker's depression.
_qYgF_e4EQQ_chunk20_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression.
FYwSVpGOd3g_chunk15_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of the speaker's depression.
drTeoerWtKU_chunk15_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
SD_flKS7koQ_chunk2_data2_task3,What is the stress cause here?,The stressor in this sentence is 'last week I threw up some blood.' The speaker is describing a stressful event that occurred during the previous week where they experienced vomiting and loss of blood.
v21ZLg8n8do_chunk18_data1_task1,Does the patient suffer from stress?,The audio does not provide explicit information regarding whether the patient suffers from stress.
KRDH89uP8wI_chunk30_data1_task3,What is the stress cause here?,The speaker is stressed about judgment from their teachers if they are not doing well enough.
yFcqj_ml8dc_chunk17_data1_task3,What is the stress cause here?,The speaker is experiencing a mild to moderate level of anxiety.
3rSt4KIaN8I_chunk2_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the emotional wellness dimension is present as the speaker mentions feeling different and being depressed."
1jfH055byg4_chunk27_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of psychosis, as indicated by their delusional belief that 'four and not a lower number' is significant, and their hallucinatory experience of hearing colors."
kuhImFdGW_w_chunk16_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression.
CdyJ0iB_k00_chunk6_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but the speaker talks about feeling the same way as their father when he would yell at them, which could potentially contribute to feelings of anxiety or low mood."
k_78UKFERGE_chunk6_data3_task1,Does the patient suffer from stress?,"Yes, the patient mentions that they worry about their pets and their aging parents, which could indicate stress."
8mQZzlQXK1Q_chunk8_data1_task1,Does the patient suffer from stress?,"Yes, the patient mentions that they have been feeling really run down and like they've been hit by something, which are common stress symptoms."
KRDH89uP8wI_chunk31_data1_task3,What is the stress cause here?,The stressor is the awareness of awards being out there.
CdyJ0iB_k00_chunk31_data1_task1,Does the patient suffer from depression?,The patient does not appear to suffer from depression but admits to feeling like a failure most of the time.
8N1PzEFw0oE_chunk33_data1_task1,Does the patient suffer from loneliness?,"The patient does not explicitly mention feelings of loneliness, but the context suggests that the difficulties they face could contribute to feelings of isolation or loneliness."
N8iqH9qwIAQ_chunk2_data1_task3,What is the stress cause here?,The speech does not provide enough context to determine the specific stress cause.
k_78UKFERGE_chunk18_data1_task1,Does the patient suffer from stress?,"Yes, the patient mentions that the thought of planning trips does not stop them from worrying."
fVpPZUEg9s4_chunk17_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, it only discusses the speaker's experience of dealing with a friend who has been calling but not answering the phone."
nFwAiO22g4Y_chunk7_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows disordered behavior, problems in her relationship with her boyfriend, and issues like drug use."
MAw3yh4BgQE_chunk2_data2_task1,Does the patient suffer from depression?,"The patient may have self-harm behavior, which is a symptom of depression. However, only a trained mental health professional can make a formal diagnosis and assessment."
5UHbkDeYYYY_chunk29_data2_task1,Does the patient suffer from depression?,"Yes, the patient may be suffering from depression as indicated by their lack of motivation and interest in activities."
58_UJc4XjLo_chunk8_data3_task3,What cause of depression does this show?,The audio does not provide information about the cause of depression.
BHEDnTntb0I_chunk1_data1_task2,What mental disorder symptoms does the patient show?,The patient shows high anxiety and panic.
G40ywooLnns_chunk9_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of paranoia.
L1vluZ9uHMY_chunk18_data2_task3,What is the stress cause here?,The speaker has a neutral mood.
hUQiq1mou78_chunk17_data1_task3,What is the stress cause here?,Her anxiety was pulling over into Tim's life.
EtVJr05akR4_chunk24_data1_task4,Does the social wellness dimension exist here?,No QA Pairs
80XyNE89eCs_chunk8_data2_task3,What cause of depression does this show?,"The audio segment does not explicitly mention depression, but it discusses the negative health effects of smoking and implies that quitting smoking is important for one's well-being, which can contribute to depression."
ihDezGfSvQs_chunk8_data1_task3,What is the stress cause here?,The stress cause in the audio is the decision to go down the hill and the fear associated with it.
k_78UKFERGE_chunk57_data2_task2,What mental disorder symptoms does the patient show?,"The patient shows signs of insomnia and hyperactivity, as well as agitation and restlessness."
km_ZGAVsr20_chunk5_data3_task4,Does the emotional wellness dimension exist here?,"Yes, the emotional wellness dimension can be present in this sentence as it suggests that someone may feel the need to drink more to achieve a desired effect, which could indicate an imbalance in their emotional state."
yALqWoumUw4_chunk4_data2_task3,What is the stress cause here?,The speaker is experiencing a neutral mood.
8N1PzEFw0oE_chunk21_data2_task3,What is the stress cause here?,The speech does not specify what the stressor is.
k_78UKFERGE_chunk9_data3_task4,Does the emotional wellness dimension exist here?,"Based on the provided transcription, it is not possible to determine if an emotional wellness dimension exists within this text. The text describes physical sensations and past experiences related to pets, but does not explicitly address emotional well-being."
fVpPZUEg9s4_chunk4_data1_task1,Does the patient suffer from loneliness?,"It is not explicitly stated, but the patient seems to have some reservations or discomfort about interacting with their brother and the kids, which could imply feelings of loneliness or disconnection."
7Ibb68uVXEg_chunk33_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
fSWXiFJybSg_chunk3_data2_task1,Does the patient suffer from loneliness?,The audio does not provide information regarding whether the patient feels lonely.
jm6PG989Q_0_chunk21_data1_task3,What cause of depression does this show?,"The audio suggests that depression can be caused by pressure and isolation, as inferred from the speakers' discussion about family and friends not being supportive and the difficulty in hanging out due to busy schedules."
jKIFMKsPMas_chunk17_data1_task3,What cause of depression does this show?,"The speaker mentions that her husband died, which can be a significant cause of depression."
BYbCvD_8QYE_chunk15_data1_task1,Does the patient suffer from loneliness?,The provided information does not specify whether the patient suffers from loneliness. The focus is on the experience of seeing or hearing things that others cannot.
P2a9102jifM_chunk11_data3_task4,Does the emotional wellness dimension exist here?,"Yes, the statement suggests that the speaker is experiencing negative emotions related to drinking."
jm6PG989Q_0_chunk91_data2_task3,What is the stress cause here?,The speaker is expressing uncertainty about what they would feel if they had only one job that was not challenging them.
L1vluZ9uHMY_chunk4_data2_task3,What cause of depression does this show?,"The speaker mentioned taking money from a friend because they needed it and their friend had more money than them, which can be a cause of stress or guilt."
DJSTzTdXwWc_chunk9_data1_task1,Does the patient suffer from loneliness?,"Yes, the patient is described as potentially lonely and depressed."
syM6XYzht20_chunk13_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of insomnia and hyperhidrosis.
gbBn8EzZx3w_chunk2_data1_task2,What mental disorder symptoms does the patient show?,The patient shows anxiety and depression.
W_tDRu67JnI_chunk27_data1_task3,What is the stress cause here?,The speaker is experiencing anger.
W_tDRu67JnI_chunk26_data3_task3,What cause of depression does this show?,"The audio does not specifically mention a cause of depression. It only talks about how it feels like a release, justice, and is good to build."
ankWMLepQsE_chunk18_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
0XEKrRJeB5I_chunk5_data1_task1,Does the patient suffer from loneliness?,"The patient may feel alone or isolated, as this could be a reason for them to attempt to harm themselves. However, it's important to note that suicide risk assessment and intervention requires a thorough understanding of the individual's thoughts, feelings, and circumstances, and cannot be determined based solely on this statement."
xkbEtIr08JU_chunk10_data4_task1,Does the patient suffer from depression?,"Based on the audio, it is not possible to determine if the patient suffers from depression. The patient may have expressed feelings of hopelessness, but this does not necessarily indicate a diagnosis of depression. It's important to note that a proper medical evaluation is necessary to diagnose and treat any mental health conditions."
Cg4BbnkBavQ_chunk17_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but it discusses the issue of becoming dependent on medication for a long period of time, which can be a common side effect of prolonged use of antidepressants."
DcAqhHb5-hk_chunk9_data1_task3,What cause of depression does this show?,The audio does not provide enough information to determine the specific cause of the speaker's depression.
f8QSA_5PEFM_chunk14_data1_task3,What is the stress cause here?,The speaker sounds uncertain and searching for the right words to articulate their thoughts.
9i_qh-BAWTw_chunk14_data1_task1,Does the patient suffer from depression?,"Yes, the patient expresses a feeling of hopelessness and describes a future with more scars, which are indicative of depression."
H8CJxNP0nv8_chunk8_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but it discusses the speaker's anxiety and worries. Anxiety and worries can contribute to feelings of depression."
ihDezGfSvQs_chunk51_data2_task3,What is the stress cause here?,"The stress cause here is people being challenged in ways they may have never experienced before, such as spending two weeks at home with their family or by themselves."
URiKA7CKtfc_chunk8_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of depression.
mfe8OzzArGc_chunk30_data3_task2,What mental disorder does this person show?,Sadness
k_78UKFERGE_chunk9_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the emotional wellness dimension can be observed in the sentence as it describes a feeling of being dragged down by fear."
7LD8iC4NqXM_chunk6_data2_task3,What cause of depression does this show?,The speaker feels depressed because they don't want to bring their dogs out and they don't understand the speaker's feelings or what is going on.
Dfo1wiPkUK0_chunk7_data1_task1,Does the patient suffer from loneliness?,"Yes, the patient feels lonely as they mention that 'nobody talks to me now' and they 'just need someone to say that it's going to be okay'."
iRqY5UddPNo_chunk11_data1_task1,Does the patient suffer from stress?,Yes
4gtDUCVAxxY_chunk3_data2_task2,What mental disorder does this person show?,The person is displaying symptoms of depression.
XbYGdo9lMsQ_chunk6_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but it describes a situation that could potentially lead to feelings of depression. The speaker talks about being pregnant before getting married and feeling like she was trying to interrupt her partner's studies and trap him. This could cause stress and anxiety, which are common triggers for depression."
P2a9102jifM_chunk15_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of depression.
UkjjYbFBctk_chunk11_data2_task3,What cause of depression does this show?,"The audio indicates that the person may have thoughts of death or dying, which can be a symptom of depression."
SNstOn6owcI_chunk39_data3_task3,What cause of depression does this show?,The audio does not provide enough information to determine the specific cause of the person's depression.
7FLBpiEEedg_chunk7_data1_task3,What is the stress cause here?,The speaker is asking about the source of distress.
mZc43xBB3qk_chunk13_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of depression.
VllviqjGYpw_chunk4_data1_task3,What is the stress cause here?,"The speaker does not explicitly state the stressor, but the context suggests it could be related to safety concerns or other negative experiences encountered while driving home."
cVvMUM6fFWk_chunk3_data2_task1,Does the patient suffer from depression?,"The patient may be experiencing symptoms of depression, but a formal diagnosis can only be made by a medical professional."
LmB3ZQ2F1MY_chunk19_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of anxiety, as indicated by their nervousness around groups and admiration for people they cannot match up to."
nanU4vR993I_chunk39_data1_task1,Does the patient suffer from stress?,"Yes, the patient is expressing distress over their situation."
P7qMfG-yNfA_chunk21_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of paranoia.
pvTGgLtVDNU_chunk5_data1_task2,What mental disorder symptoms does the patient show?,"The patient is experiencing depression as indicated by feelings of hopelessness, helplessness, and a negative outlook on the future."
qe-0fk4ZG20_chunk37_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of the person's depression.
XH2tF8oB3cw_chunk13_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of depression and anxiety, as indicated by their feelings of inability to do their job, being an idiot, and feeling like a weirdo. They also mention trying to avoid situations or focus on other things as coping mechanisms."
0Xkd2WNtvI4_chunk2_data1_task3,What is the stress cause here?,The speaker does not explicitly state the stress cause.
_gAX6CCfckM_chunk5_data2_task3,What is the stress cause here?,"The provided information does not specify a stressful situation, so I cannot answer that question."
wl0zc9pPJb4_chunk16_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of anxiety.
tq_yyMVax_c_chunk11_data2_task2,What mental disorder symptoms does the patient show?,"The patient shows signs of depression, such as feeling like they don't want to go to work, being more stressed out at night, and feeling on edge all the time. They also mention having an extra glass of wine to cope with these feelings."
Qwbm0s5970M_chunk18_data1_task2,What mental disorder does this person show?,Addiction
0cGGCuFWMtw_chunk21_data1_task4,Does the vocational wellness dimension exist here?,"No, the vocational wellness dimension does not exist in the list of competencies provided."
EtVJr05akR4_chunk3_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
67I6g1I7Zao_chunk1_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the emotional wellness dimension exists in the speech as it involves discussing feelings of stress and anxiety."
eqIM3n7ujVA_chunk11_data1_task2,What mental disorder symptoms does the patient show?,The patient shows suicidal thoughts and is expressing frustration and tiredness.
Gt1dCRfv_Lc_chunk12_data1_task1,Does the patient suffer from stress?,"Yes, the patient has been through a lot of stress as indicated by their condition and symptoms."
yFcqj_ml8dc_chunk12_data3_task3,What is the stress cause here?,The sentence does not provide enough context to determine the specific stress cause.
MtcWc8IzaWg_chunk19_data1_task2,What mental disorder symptoms does the patient show?,The patient has trouble concentrating and is easily distracted.
jxNBQKMW1wg_chunk30_data1_task1,Does the patient suffer from loneliness?,The audio does not provide explicit information regarding the patient's feelings of loneliness.
eqIM3n7ujVA_chunk11_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the speaker mentions that suicidal ideations are common with depression."
21UTRCWbv20_chunk17_data2_task3,What cause of depression does this show?,The audio does not provide enough information to determine the specific cause of the person's depression.
7LD8iC4NqXM_chunk15_data2_task3,What is the stress cause here?,"The speaker lists several stress causes including feeling low, unique pressure, problems with parents' marriage, and a sense of isolation."
jm6PG989Q_0_chunk96_data2_task3,What is the stress cause here?,"The speaker seems to be experiencing a moment of uncertainty and distress, as indicated by the use of phrases like 'I don't know' and 'I just need to keep going'. The mention of a sacrifice implies that they may be facing a difficult decision or situation where they feel they must make a significant personal cost in order to move forward."
0cGGCuFWMtw_chunk4_data2_task4,Does the emotional wellness dimension exist here?,"No, there is no explicit mention of emotional wellness in the speech."
-GaYArbWL1Q_chunk15_data2_task1,Does the patient suffer from loneliness?,"The patient does not explicitly mention feeling lonely, but the context of the question suggests that it may be a possibility."
P624_q04ZWg_chunk9_data2_task2,What mental disorder does this person show?,"The person appears to have a drug problem; specifically, they mentioned using drugs and alcohol."
jkKm5Cym-ZY_chunk8_data1_task3,What cause of depression does this show?,"The speaker mentions being depressed due to negative events such as waking up early, feeling upset about the situation, and not being able to feel happy for their brother despite the wedding being a joyful occasion."
ZNDBInn5neE_chunk18_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of anxiety and depression.
kuhImFdGW_w_chunk16_data2_task3,What is the stress cause here?,The stress cause here is the girl talking about Tim.
hOcPKXJmEdU_chunk9_data2_task2,What mental disorder symptoms does the patient show?,The patient has been feeling sad for four years.
UxCT6zVPk7A_chunk2_data2_task3,What is the stress cause here?,The speaker is expressing frustration about not understanding the charges against them and feeling kept in captivity by the government's silence.
xkbEtIr08JU_chunk3_data1_task3,What is the stress cause here?,The speaker feels like they should be more professional.
zdha69z2VaA_chunk4_data2_task3,What cause of depression does this show?,The audio does not explicitly mention the cause of depression.
z60HLGvT7DQ_chunk10_data2_task4,Does the social wellness dimension exist here?,"Yes, the social wellness dimension is present as it involves one's relationships and social life."
Ch9YNaCgBU4_chunk14_data2_task3,What is the stress cause here?,The sentence does not provide enough information to determine the specific cause of stress.
EtVJr05akR4_chunk24_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of the depression.
BYbCvD_8QYE_chunk13_data1_task2,What mental disorder does this person show?,"The individual appears to have a delusional disorder, as they believe that the sun revolves around them. This is a common symptom of delusional disorders, which are characterized by false beliefs or impressions that are not consistent with reality."
BYbCvD_8QYE_chunk14_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of depression, as indicated by their mood being 'sad' and a sense of ' hopelessness.'"
_HIotEzcUEU_chunk35_data2_task3,What cause of depression does this show?,The audio does not provide information on the specific cause of depression mentioned.
rKTYOAI65zE_chunk12_data2_task2,What mental disorder symptoms does the patient show?,"The patient shows a lack of emotional response and detachment from reality, which are common symptoms of schizophrenia."
sErapRr-Na0_chunk11_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of paranoia.
Cg4BbnkBavQ_chunk8_data2_task3,What is the stress cause here?,Working at a job center can be stressful due to having to see many people.
nFwAiO22g4Y_chunk16_data1_task2,What mental disorder does this person show?,Angry mood.
Ad1E-Wi-DzM_chunk5_data3_task1,Does the patient suffer from stress?,"The patient does not explicitly mention stress, but the response suggests that they are aware of their surroundings more than is typical, which could imply a heightened state of awareness that could be related to stress."
S4wWClQhZaA_chunk15_data1_task2,What mental disorder symptoms does the patient show?,The patient shows anxiety and panic attacks.
lJN6g0V5Q-U_chunk11_data1_task3,What is the stress cause here?,The speech does not provide enough context to determine the specific stressor.
bTRRNWrwRCo_chunk4_data2_task1,Does the patient suffer from loneliness?,"The patient does not explicitly mention feelings of loneliness in the provided speech; however, they do discuss being aware of their problems and solutions, which could imply introspection or self-awareness, potentially contributing to a sense of loneliness."
hUQiq1mou78_chunk18_data1_task2,What mental disorder does this person show?,"The individual appears to be displaying symptoms of depression, as indicated by the speech pattern and the expression of sadness."
sW5HDbm09ZE_chunk11_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the emotional wellness dimension is present as the speaker talks about not liking oneself and feeling sad."
64T_BwKcc2M_chunk2_data3_task3,What cause of depression does this show?,The audio does not provide information about the specific cause of the individual's depression.
Ad1E-Wi-DzM_chunk5_data3_task3,What is the stress cause here?,The speaker seems to feel that they are excessively aware or sensitive to their surroundings.
A1XJeciqyL8_chunk63_data2_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
VKdjQYtbiic_chunk3_data1_task3,What is the stress cause here?,"The speaker seems to be stressed because they have been spending a lot of time on their phone and getting distracted from their tasks, which has caused them to feel unproductive and off-topic."
-fLArKnlQkw_chunk7_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows signs of depression, as indicated by their mood and the content of their speech."
LmB3ZQ2F1MY_chunk21_data1_task4,Does the social wellness dimension exist here?,"The phrase 'social wellness' does not appear in the audio, so it is unclear if this dimension exists within the context of the speech."
jm6PG989Q_0_chunk93_data1_task4,Does the social wellness dimension exist here?,"No, the speech does not explicitly mention 'social wellness'."
vdMnsJJvqR4_chunk8_data2_task3,What cause of depression does this show?,The audio does not specifically state the cause of the speaker's depression.
Cg4BbnkBavQ_chunk13_data2_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of depression, as indicated by their expression of being in a state of despair and their interest in killing themselves."
tBd5VGCKnjA_chunk11_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but the speaker discusses feelings of sadness and hopelessness."
dbqFCbXxwb0_chunk4_data1_task3,What is the stress cause here?,"The speaker was really scared, and their heart started racing."
drTeoerWtKU_chunk14_data1_task3,What cause of depression does this show?,The speaker does not explicitly mention the cause of depression.
Cg4BbnkBavQ_chunk1_data1_task3,What is the stress cause here?,The speaker sounds exhausted.
fVpPZUEg9s4_chunk6_data1_task1,Does the patient suffer from loneliness?,"Yes, the patient does suffer from loneliness according to the speech."
q58A-IM8iUs_chunk8_data1_task1,Does the patient suffer from stress?,"Yes, the patient mentions that they stress themselves out when the voices happen."
-fLArKnlQkw_chunk2_data1_task4,Does the physical wellness dimension exist here?,"No, the physical wellness dimension does not seem to be present as there is no mention of health or body-related issues."
_HIotEzcUEU_chunk12_data1_task4,Does the social wellness dimension exist here?,"No, the social wellness dimension does not seem to be present as the question is about personal feelings and experiences rather than broader societal factors."
ZgZENqjIiyo_chunk8_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
L4oDAYZWLhs_chunk20_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows cycles of sobriety and drinking, which is indicative of alcohol use disorder."
jm6PG989Q_0_chunk75_data1_task3,What is the stress cause here?,"The speaker seems to be experiencing stress related to a situation or activity they are engaged in, as indicated by the phrases 'it was that bad' and 'so stressful'."
7Ibb68uVXEg_chunk24_data2_task1,Does the patient suffer from depression?,The audio does not provide enough information to determine if the patient suffers from depression.
zdsaW_TSzHU_chunk3_data1_task1,Does the patient suffer from stress?,"Yes, the patient mentions being late home preparing dinner for her husband and his subsequent annoyance, which could indicate stress."
OhHauJSOPMY_chunk6_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of paranoia.
HIgQKH3Y1VE_chunk3_data1_task2,What mental disorder symptoms does the patient show?,The patient shows anxiety.
km_ZGAVsr20_chunk2_data1_task4,Does the emotional wellness dimension exist here?,"No, the speech does not contain any explicit references to emotions or well-being, so this dimension cannot be identified."
8N1PzEFw0oE_chunk24_data1_task4,Does the patient show risk of thwarted belongingness?,"Yes, the patient indicates a sense of loneliness despite having friends, suggesting feelings of isolation or lack of connection with others."
ZD-QoQ0ivKc_chunk9_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
UxCT6zVPk7A_chunk4_data1_task1,Does the patient suffer from stress?,"Yes, the patient mentions that the lights are always on and they can hear everything, which implies a stressful environment."
kuhImFdGW_w_chunk6_data2_task3,What cause of depression does this show?,"The audio does not provide enough information to determine the specific cause of the person's depression. It only mentions that the person decided to cut and went down to the gym, which could potentially be related to their depression, but it is not a definitive answer."
8p7vNzCpu2Q_chunk28_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of depression, as indicated by questioning oneself, doubting oneself, feeling sad, and hopeless."
5UHbkDeYYYY_chunk33_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression.
X9NBaihCzhk_chunk4_data1_task1,Does the patient suffer from loneliness?,The audio does not provide enough information to determine if the patient suffers from loneliness.
8E7e7-LD7pw_chunk25_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows signs of depression, as indicated by their tearful and sad mood, along with a sense of hopelessness or helplessness ('I just worry that like that will happen again. I mean, I don't know')."
JKUFWK6iSsw_chunk20_data2_task1,Does the patient suffer from depression?,"The patient may be experiencing symptoms of depression, as indicated by feelings of emptiness, disconnection from themselves, and a lack of motivation or ability to perform well."
yFcqj_ml8dc_chunk24_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of obsessive-compulsive disorder (OCD).
ankWMLepQsE_chunk60_data2_task1,Does the patient suffer from depression?,"Based on the audio, it cannot be determined if the patient suffers from depression."
osROod3Hmpg_chunk13_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of depression and anxiety.
tBd5VGCKnjA_chunk15_data2_task3,What is the stress cause here?,"The speaker is likely experiencing stress due to a situation involving a bridge and managing something across it, as indicated by the phrases 'getting close to getting off the bridge' and 'manage those two or three minutes of cross'."
OPCYGqzf7Us_chunk13_data2_task3,What is the stress cause here?,The speaker seems to feel misunderstood or unfairly judged when they are told they are doing something wrong.
x7HJmVx3qN4_chunk10_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the speaker is discussing their emotional state and how it affects their daily life."
G8atkQwFgPE_chunk8_data1_task2,What mental disorder symptoms does this patient show?,"The patient shows symptoms of depression, such as feeling hopeless and having negative thoughts about themselves."
J2dpGjs5mjA_chunk7_data1_task4,Does the emotional wellness dimension exist here?,"The statement does not convey any specific emotions or feelings, so it is not possible to determine if there are any emotional wellness dimensions present."
osROod3Hmpg_chunk16_data1_task1,Does the patient suffer from loneliness?,"The patient does not explicitly state feeling lonely, but the mention of an experience that led to worry may imply feelings of isolation or distress."
jxNBQKMW1wg_chunk5_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the emotional wellness dimension exists in this sentence as it reflects a sense of hopelessness or helplessness, which are emotions that can impact one's overall well-being."
0Dz9MYAyJGc_chunk8_data1_task1,Does the patient suffer from stress?,"Yes, the patient mentioned feeling stressed."
